#closure_type,name1,name2,closure_start,closure_end
location,fox_hill_community_center,sir_kendal_issacs_gym,0,22
location,all_saints_anglican_auditorium,sir_kendal_issacs_gym,0,22
location,pilgrim_baptist_church,sir_kendal_issacs_gym,0,22
location,all_saints_anglican_auditorium,sir_kendal_issacs_gym,0,19
location,bethel_deliverance_center,,0,21
location,enoch_backford_shelter,sir_kendal_issacs_gym,0,17
location,grand_lucayan_resort,,0,12
location,grants_town_sda,sir_kendal_issacs_gym,0,22
