#name1,name2,distance,forced_redirection,link_type
nassua,campzone_a,3.09,2,drive
nassua,bahamas_academy_gym,8.27,2,drive
nassua,fox_hill_community_center,5.764,2,drive
nassua,campzone_b,1.41,2,drive
nassua,campzone_c,1.25,2,drive
nassua,all_saints_anglican_auditorium,6.154,2,drive
nassua,salvation_army_mackey,1.6456,2,drive
nassua,campzone_e,7.94,2,drive
marsh_harbor,campzone_d,0.71,2,drive
marsh_harbor,central_abaco_primary_school,1.6848,2,drive
nassua,marsh_harbor,164.8,1,crossing
